BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McMahon2B,4,0,0,0,0,1,0,.246,.728
IglesiasSS,4,0,0,0,0,2,0,.301,.732
BlackmonDH,4,0,0,0,0,2,0,.268,.750
Cron1B,3,0,1,0,0,2,0,.272,.809
GrichukCF,3,0,0,0,0,2,1,.275,.746
TogliaRF,3,0,1,0,0,2,1,.273,.909
"Díaz, EC",3,0,0,0,0,0,2,.229,.667
"Montero, E3B",3,0,0,0,0,2,2,.241,.692
BouchardLF,3,0,0,0,0,3,2,.118,.368
,30,0,2,0,0,16,8,,
