PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
"Kuhl(L, 6-8)",4.2,5,3,3,1,7,2,5.19
Lawrence,1.1,0,0,0,0,2,0,4.18
Lamet,1.0,0,0,0,0,2,0,6.14
"Smith, C",1.0,0,0,0,0,2,0,9.95
,8.0,5,3,3,1,13,2,
