PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Taillon(W, 7-1)",5.0,8,3,3,1,5,1,2.93
Castro,1.0,1,0,0,0,0,0,2.89
"Banuelos(S, 1)",3.0,3,1,1,0,4,0,1.29
,9.0,12,4,4,1,9,1,
