PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Springs(L, 6-4)",6.0,8,5,5,1,8,1,2.76
Cleavinger,2.0,0,0,0,0,3,0,7.11
,8.0,8,5,5,1,11,1,
