BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,5,1,1,3,0,2,0,.266,.869
TurnerSS,4,1,1,1,0,0,0,.305,.851
"Freeman, F1B",4,0,1,0,0,1,0,.324,.929
"Smith, W.D.C",3,0,1,0,1,2,0,.263,.816
Muncy3B,4,1,1,0,0,2,3,.168,.632
GalloLF,4,0,1,0,0,2,2,.160,.620
Lux2B,4,1,2,1,0,0,0,.298,.800
BellingerCF,4,0,0,0,0,2,2,.203,.641
OutmanDH,3,1,0,0,1,3,2,.462,1.409
,35,5,8,5,2,14,9,,
