BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SlaterLF-CF,4,0,1,0,0,1,1,.269,.776
Flores2B,3,0,0,0,1,1,2,.251,.781
YastrzemskiRF,4,0,0,0,0,1,1,.221,.699
"Mercedes, YDH",3,1,1,0,0,0,0,.246,.704
b-BeltPH,1,1,1,0,0,0,0,.242,.754
"Davis, J3B",4,1,1,2,0,1,2,.238,.691
Villar1B,3,0,0,0,0,1,0,.175,.624
c-La StellaPH,1,0,0,0,0,1,0,.242,.656
WynnsC,2,0,0,0,1,1,0,.205,.558
"Johnson, BCF",1,0,0,0,0,1,0,.000,.000
"a-Gonzalez, LPH-LF",2,0,0,0,0,0,1,.283,.764
"Machado, DSS",3,0,1,0,0,0,1,.200,.494
,31,3,5,2,2,8,8,,
