Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2015,,,,,,,,,34,,,,,,100,,
2016,,,,,,,,,91,,,,,,100,,
2017,50,76,48,36,50,38,38,74,86,71,64,28,55,85,99,71,
2018,60,80,50,33,75,65,35,55,87,54,69,60,73,77,99,98,
2019,57,83,55,39,63,51,39,73,91,68,64,35,62,46,100,87,
2020,89,95,86,71,84,89,61,78,81,58,92,42,82,52,99,13,45
2021,84,97,78,53,80,68,39,55,84,77,74,15,64,56,100,79,37
2022,71,89,72,57,61,78,48,48,86,60,68,25,39,22,99,47,39
