Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2015,WSH,NL,2B,12,6,58.2,42,19,22,1,5,,.976
2015,WSH,NL,SS,6,2,25.2,8,3,4,1,2,,.875
2016,WSH,NL,2B,30,25,234.0,124,52,71,1,19,,.992
2016,WSH,NL,SS,2,0,6.0,8,3,5,0,2,,1.000
2016,WSH,NL,CF,45,44,387.2,102,99,1,2,0,,.980
2017,WSH,NL,SS,95,95,846.2,376,134,234,8,57,,.979
2018,WSH,NL,SS,159,158,1401.0,615,204,399,12,70,,.980
2019,WSH,NL,SS,122,122,1065.1,441,130,298,13,57,,.971
2020,WSH,NL,SS,59,59,479.2,206,77,120,9,33,,.956
2021,WSH,NL,SS,95,95,793.2,339,105,223,11,40,,.968
2021,LAD,NL,2B,49,48,436.2,185,70,110,5,20,,.973
2021,LAD,NL,SS,3,3,24.0,4,2,2,0,0,,1.000
2021,2 Teams,,SS,98,98,817.2,343,107,225,11,40,,.968
2022,LAD,NL,SS,160,160,1386.2,524,174,334,16,54,,.969
8 Seasons,2 Teams,,2B,91,79,729.1,351,141,203,7,44,,.980
,2 Teams,,SS,701,694,6028.2,2521,832,1619,70,315,,.972
,WSH,NL,CF,45,44,387.2,102,99,1,2,0,,.980
