,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,708,652,101,194,21,100,27,.298,.343,.466,.809
8 Seasons,3737,3424,586,1033,124,434,230,.302,.355,.487,.842
