Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,392",51.2,362,324,105,68,22,4,11,55,271,.324,.294,.519,.468,.390,.366,91.2,10,17.6,15.2
2022,Breaking,"1,003",36.9,249,239,59,43,10,0,6,60,182,.247,.242,.364,.357,.273,.278,85.3,12,35.4,16.7
2022,Offspeed,324,11.9,96,89,30,19,7,0,4,16,74,.337,.301,.551,.502,.396,.369,89.5,6,33.2,13.8
2021,Fastballs,"1,350",54.3,336,303,109,65,19,3,22,54,252,.360,.316,.660,.574,.448,.408,91.6,12,16.0,14.7
2021,Breaking,847,34.1,223,208,57,41,11,0,5,43,166,.274,.279,.399,.380,.312,.312,87.5,12,32.0,14.6
2021,Offspeed,289,11.6,85,84,29,24,4,0,1,13,71,.345,.321,.429,.429,.339,.331,87.4,9,28.4,12.4
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
