Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,298,4,1.3,.401,.220
2017,R,446,0,0.0,.338,
2018,R,737,2,0.3,.331,.440
2019,R,566,19,3.4,.349,.579
2020,R,259,8,3.1,.404,.682
2021,R,643,53,8.2,.369,.546
2022,R,707,10,1.4,.346,.598
