Season,Team,Pos,PA,Depth (ft.),Angle
2016,WSH,6,8,144,-12
2016,WSH,8,1480,311,-1
2016,WSH,4,987,149,14
2017,WSH,6,3527,146,-13
2018,WSH,6,5855,146,-13
2019,WSH,6,4483,146,-10
2020,WSH,6,2134,143,-15
2021,WSH,6,3317,146,-14
2021,LAD,4,1763,152,12
2021,LAD,6,94,148,-10
2022,LAD,6,5582,147,-16
