 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2015,,44,170,0,-1,1,0,0
2016,,348,"1,334",9,0,6,4,19
2017,,469,"1,788",-1,-12,9,6,2
2018,,737,"2,924",1,-21,23,12,15
2019,,644,"2,542",-10,-7,14,11,8
2020,,259,"1,033",12,-5,7,3,17
2021,,697,"2,690",8,-12,18,13,27
2022,,725,"2,789",-1,-1,16,12,26
