BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,1,1,2,1,1,3,.298,.765
"Rosario, ASS",5,0,1,0,0,1,3,.283,.726
"Ramírez, Jo3B",3,2,3,3,1,0,0,.285,.906
"Gonzalez, ORF",4,1,1,1,0,1,2,.305,.812
a-BensonPH-RF,1,0,0,0,0,1,1,.115,.322
"Naylor, JDH",5,1,1,0,0,1,3,.270,.792
"Miller, O1B",4,1,2,0,0,0,1,.241,.656
"Freeman, T2B",4,0,0,0,0,3,3,.192,.575
MaileC,4,1,2,1,0,1,1,.242,.693
StrawCF,4,0,2,0,0,0,1,.204,.537
,38,7,13,7,2,9,18,,
