PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Quantrill(W, 10-5)",7.0,5,0,0,1,6,0,3.59
Shaw,1.0,1,0,0,0,1,0,5.24
"De Los Santos, E",1.0,0,0,0,0,2,0,2.83
,9.0,6,0,0,1,9,0,
