 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,176,95.1,90.0,--,--,--,--,--,--,--,--,--,--,176,90.0,--,--
2021,387,95.7,87.6,--,--,--,--,--,--,--,--,--,--,387,87.6,--,--
2022,335,97.6,90.9,--,--,--,--,--,--,--,--,--,--,--,--,335,90.9
