Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2012,PIT,NL,182,73,48,2,2,.333,14,5,13,712,3.912,.275,.027,.160,.180,4,0
2013,PIT,NL,566,225,128,6,1,.363,48,6,50,2168,3.830,.244,.021,.181,.161,6,0
2014,PIT,NL,545,224,208,0,0,.373,48,5,71,2072,3.802,.240,.024,.252,.162,11,2
2015,PIT,NL,633,257,245,3,5,.333,51,14,87,2281,3.603,.194,.030,.220,.157,8,3
2016,PIT,NL,529,223,195,1,0,.380,48,8,66,1995,3.771,.197,.017,.221,.145,6,0
2017,PIT,NL,339,117,97,0,2,.324,16,5,35,1318,3.888,.186,.021,.317,.104,2,1
2018,PIT,NL,606,257,181,1,3,.312,57,11,84,2267,3.741,.180,.033,.321,.182,7,1
2019,PIT,NL,586,271,217,2,4,.319,60,15,110,2127,3.630,.160,.039,.266,.208,4,1
2020,AZ,NL,138,54,49,0,1,.353,11,3,23,519,3.761,.138,.014,.526,.131,1,0
2020,MIA,NL,112,44,45,0,0,.275,10,2,16,424,3.786,.196,.036,.091,.170,3,0
2020,2 Teams,,250,98,94,0,1,.319,21,5,39,943,3.772,.164,.024,.293,.149,4,0
2021,MIA,NL,275,105,73,1,1,.376,19,2,40,1086,3.949,.207,.025,.561,.146,1,1
2021,OAK,AL,251,109,93,0,1,.367,23,4,45,884,3.522,.167,.020,.262,.150,4,2
2021,2 Teams,,526,214,166,1,2,.372,42,6,85,1970,3.745,.188,.023,.434,.148,5,3
2022,NYM,NL,505,218,192,0,0,.340,45,18,100,1920,3.802,.192,.032,.268,.176,4,1
11 Seasons,5 Teams,,5267,2177,1771,16,20,.344,450,98,740,19773,3.754,.199,.027,.264,.163,61,12
