 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2012,,181,707,-2,-4,4,3,0
2013,,588,"2,262",2,-9,10,9,12
2014,,549,"2,081",10,-9,7,10,18
2015,,634,"2,272",17,-12,6,8,19
2016,,524,"1,975",5,-6,7,10,16
2017,,333,"1,300",-3,-14,9,4,-4
2018,,601,"2,260",12,-12,15,6,20
2019,,576,"2,100",12,-16,7,11,15
2020,,254,959,4,-8,6,4,5
2021,,524,"1,969",8,-10,17,11,27
2022,,518,"1,970",12,-14,11,10,19
