Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,26,29.6,4.15,92,1,1,16,97.8
2016,27,28.9,4.11,46,7,5,50,92.8
2017,28,28.9,4.12,26,8,5,63,90.8
2018,29,28.6,4.13,45,34,4,94,86.1
2019,30,29.0,4.15,45,30,1,56,91.9
2020,31,28.5,4.26,8,24,2,54,89.4
2021,32,28.4,4.22,22,47,5,113,83.4
2022,33,28.0,4.28,13,32,3,199,68.2
