 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2012,,251,15.3,47.0%,0.8%,75,21.7,2.7%,16.0%
2013,,725,16.5,33.2%,3.2%,193,22.6,0.5%,13.5%
2014,,571,17.0,29.1%,2.1%,267,23.6,0.0%,15.7%
2015,,479,18.7,23.8%,9.6%,335,26.3,2.4%,31.0%
2016,,493,17.7,29.8%,4.7%,292,24.7,5.8%,28.8%
2017,,396,16.9,25.0%,2.3%,185,22.4,2.2%,10.3%
2018,,586,16.4,33.6%,0.9%,328,22.3,1.5%,11.0%
2019,,507,16.4,35.7%,1.2%,337,22.5,1.8%,9.2%
2020,,241,17.9,20.7%,2.9%,152,24.2,2.0%,12.5%
2021,,492,17.8,24.0%,2.6%,327,24.5,0.0%,18.0%
2022,,490,18.2,17.6%,2.9%,358,23.2,0.0%,11.5%
