Season,Team,Pos,PA,Depth (ft.),Angle
2016,PIT,7,4060,296,-28
2016,PIT,8,385,315,0
2017,PIT,7,2012,297,-28
2017,PIT,8,812,317,0
2018,PIT,8,5056,322,0
2019,PIT,8,4975,325,1
2020,ARI,8,1193,327,0
2020,ARI,7,10,313,-27
2020,MIA,8,922,321,-1
2021,OAK,8,2033,325,0
2021,MIA,8,2266,321,1
2022,NYM,8,20,327,5
2022,NYM,9,4114,299,28
