PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Otto,5.2,3,1,1,1,3,1,4.73
"Burke(L, 7-4)",2.1,2,2,2,2,2,1,1.71
Moore,1.0,1,1,1,0,0,1,2.09
,9.0,6,4,4,3,5,3,
