PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Rodón(W, 7-4)",6.0,7,1,1,0,4,0,2.62
"Brebbia(H, 8)",1.0,2,1,1,0,1,0,2.78
"Leone(H, 10)",0.2,1,1,1,3,1,0,2.54
"Doval(S, 12)",1.1,0,0,0,1,2,0,2.97
,9.0,10,3,3,4,8,0,
