PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Skubal(L, 5-6)",4.2,4,3,3,4,5,0,3.75
"Peralta, Wi",1.1,3,1,1,0,2,0,2.35
Chafin,1.0,0,0,0,1,1,0,3.10
"Jiménez, J",1.0,0,0,0,0,1,0,3.45
,8.0,7,4,4,5,9,0,
