PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Archer(W, 1-2)",5.0,2,1,1,4,2,0,3.65
"Jax(H, 6)",2.0,1,0,0,0,2,0,2.86
Pagán,1.0,0,0,0,0,2,0,2.84
Thielbar,1.0,2,0,0,0,1,0,5.31
,9.0,5,1,1,4,7,0,
