BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BuxtonCF,4,2,2,1,1,1,0,.224,.833
CorreaDH,3,2,1,0,1,2,0,.280,.754
Polanco2B,3,1,0,0,1,0,2,.236,.713
Urshela3B,4,1,2,1,0,1,3,.279,.740
Miranda1B,4,1,3,3,0,0,0,.223,.681
KeplerRF,4,0,1,1,0,0,3,.255,.778
CelestinoLF,2,0,0,0,0,0,2,.337,.784
a-LarnachPH-LF,2,0,1,1,0,1,2,.256,.791
JeffersC,4,1,1,1,0,1,1,.175,.572
GordonSS,4,0,0,0,0,1,1,.246,.651
,34,8,11,8,3,7,14,,
