PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Castellanos, H(W, 3-1)",5.1,5,3,3,1,5,2,4.29
"Smith, C",1.1,3,2,2,1,2,2,7.20
"Ramirez, No(H, 8)",1.1,0,0,0,1,2,0,3.63
Poppen,1.0,0,1,1,2,0,0,3.86
,9.0,8,6,6,5,9,4,
