BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OrtegaRF,4,0,2,0,1,1,2,.221,.646
ContrerasC,4,0,0,0,0,2,2,.254,.838
GomesC,1,0,0,0,0,0,2,.262,.699
HappLF,3,0,0,1,1,2,1,.265,.770
SchwindelDH,4,0,0,0,1,1,1,.221,.568
Rivas1B,4,0,0,0,0,2,3,.207,.669
Wisdom3B,4,1,1,1,0,1,0,.207,.711
Villar2B,4,2,2,1,0,0,0,.253,.656
MorelCF,4,1,2,2,0,0,0,.364,1.371
"Vargas, ISS",2,2,1,1,2,0,0,.158,.694
,34,6,8,6,5,9,11,,
