PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Hendricks(L, 2-4)",5.0,8,7,7,2,3,4,4.89
Norris,1.0,1,1,1,1,1,1,6.00
Givens,1.0,2,1,1,1,1,1,3.52
Gsellman,2.0,1,1,1,0,2,1,5.40
,9.0,12,10,10,4,7,7,
