PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Montas(L, 4-11)",6.0,8,4,4,0,6,3,3.94
Holmes,1.0,0,0,0,0,1,0,2.34
Luetge,1.0,1,0,0,0,1,0,2.53
,8.0,9,4,4,0,8,3,
