BATTERS - KC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MelendezLF,2,0,0,1,1,0,0,.225,.736
Witt Jr.SS,4,2,2,1,0,0,1,.252,.737
"Perez, SC",4,0,1,1,0,0,1,.225,.703
O'HearnDH,2,0,0,0,0,0,0,.219,.578
a-RookerPH-DH,1,0,0,0,0,0,1,.095,.351
b-MasseyPH-DH,1,0,0,0,0,0,1,.284,.756
"Taylor, MCF",4,0,1,0,0,0,0,.263,.684
Pratto1B,2,0,0,0,1,1,0,.163,.590
Dozier3B,4,0,0,0,0,1,2,.236,.686
"Lopez, N2B",2,1,1,0,1,0,0,.237,.575
WatersRF,3,0,0,0,0,2,3,.000,.143
,29,3,5,3,3,4,9,,
