PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Smyly(L, 1-1)",5.0,6,4,4,1,4,2,2.45
"Thompson, K",4.0,2,0,0,1,4,0,0.00
,9.0,8,4,4,2,8,2,
