BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rojas, J2B",4,1,1,1,2,0,4,.285,.775
Rivera3B,5,1,2,1,1,0,0,.250,.754
"Marte, KDH",4,1,1,1,1,0,4,.257,.770
"Walker, C1B",5,0,3,1,0,0,2,.224,.795
VarshoRF,4,0,0,0,1,2,3,.233,.717
McCarthyLF,3,1,2,1,1,1,0,.282,.772
"Kelly, CC",4,1,0,0,1,0,4,.220,.645
"Thomas, ACF",4,2,3,0,1,0,2,.248,.679
PerdomoSS,4,0,1,1,1,1,5,.189,.548
,37,7,13,6,9,4,24,,
