PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
Heasley,4.2,4,0,0,4,2,0,5.21
Cuas,1.1,3,1,1,0,1,0,4.13
"Staumont(L, 3-3)",1.1,3,4,4,3,1,0,6.45
Weaver,1.2,3,2,2,2,0,0,7.71
,9.0,13,7,7,9,4,0,
