PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Strider(L, 10-5)",5.0,9,3,2,1,9,0,2.72
"Lee, D",2.0,0,0,0,0,4,0,2.59
Minter,1.0,1,0,0,0,1,0,2.14
,8.0,10,3,2,1,14,0,
