 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2015,,62,16.1,38.7%,1.6%,28,21.9,10.7%,3.6%
2016,,407,16.7,33.4%,2.7%,185,24.7,6.5%,21.1%
2017,,631,15.9,40.3%,0.8%,230,21.4,1.3%,7.8%
2018,,946,15.8,41.1%,0.7%,496,21.8,2.0%,10.7%
2019,,810,16.5,32.3%,1.1%,257,23.1,0.8%,12.5%
2020,,345,16.5,36.5%,1.4%,150,23.3,0.0%,14.0%
2021,,780,17.3,25.3%,2.9%,345,23.5,0.9%,17.1%
2022,,687,16.7,30.0%,1.9%,474,22.7,1.9%,12.9%
