 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2015,,247,952,-2,-7,9,3,3
2016,,466,"1,764",-20,-8,5,4,-18
2017,,269,"1,007",-8,-5,6,5,-2
2018,,575,"2,175",-7,-14,18,11,9
2019,,626,"2,401",11,-1,19,11,41
2020,,195,695,-7,-3,6,4,1
2021,,371,"1,411",10,-4,10,6,22
2022,,555,"2,158",-21,-5,14,9,-3
