Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2019,-3,,-2,-2,1,-2,-1,0,0,-1,87,86,-1
2020,0,,0,0,0,0,0,0,0,0,99,100,1
2021,-4,,0,0,0,0,-2,0,-2,-4,88,86,-2
