BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF-RF,5,0,1,0,0,2,3,.278,.870
BichetteSS,5,1,1,0,0,0,2,.267,.763
Guerrero1B,5,1,2,2,0,2,2,.250,.813
KirkDH,3,1,0,0,1,2,1,.318,.872
"Hernández, TRF-LF",3,1,2,0,1,0,1,.233,.673
Espinal3B,3,1,1,0,1,1,2,.288,.788
Gurriel Jr.LF,3,1,2,3,1,0,1,.268,.713
ZimmerCF,0,0,0,0,0,0,0,.100,.406
MorenoC,3,0,0,0,1,0,2,.143,.393
Biggio2B,4,0,2,1,0,2,0,.203,.653
,34,6,11,6,5,9,14,,
