PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Stripling(W, 3-1)",6.0,1,0,0,0,4,0,3.14
"Garcia, Y",1.0,0,0,0,0,2,0,2.70
Thornton,1.0,1,0,0,0,2,0,2.91
Romano,1.0,0,0,0,0,0,0,2.82
,9.0,2,0,0,0,8,0,
