PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Skubal(L, 5-3)",4.0,7,4,4,2,5,1,2.71
"Peralta, Wi",2.0,0,0,0,2,0,0,1.42
"Jiménez, J",1.0,1,0,0,0,2,0,2.95
"Barnes, J",1.0,2,2,2,1,0,0,6.10
Lange,1.0,1,0,0,0,2,0,1.48
,9.0,11,6,6,5,9,1,
