BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Reyes, VCF",4,0,0,0,0,2,0,.313,.791
Schoop2B,3,0,0,0,0,2,0,.189,.540
MeadowsRF,3,0,0,0,0,0,0,.246,.663
"Cabrera, MDH",3,0,0,0,0,1,0,.286,.695
"Castro, H3B",3,0,1,0,0,0,1,.282,.749
"Báez, JSS",3,0,0,0,0,0,1,.197,.543
GrossmanLF,3,0,1,0,0,2,1,.204,.557
Torkelson1B,3,0,0,0,0,0,1,.186,.585
BarnhartC,2,0,0,0,0,1,0,.230,.533
a-ClemensPH,1,0,0,0,0,0,0,.000,.056
,28,0,2,0,0,8,4,,
