PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Montas(W, 3-6)",6.0,8,5,5,1,2,0,3.40
"Acevedo(H, 7)",1.0,0,0,0,0,2,0,3.62
"Puk(H, 6)",1.0,1,0,0,0,1,0,1.78
"Jiménez, D",1.0,0,0,0,0,0,0,4.70
,9.0,9,5,5,1,5,0,
