PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Cease(W, 1-0)",5.0,2,1,1,3,8,0,1.80
"López, R",1.0,2,1,1,2,0,0,9.00
"Sousa(H, 1)",1.1,0,0,0,0,1,0,0.00
"Ruiz, J(H, 1)",0.2,1,0,0,0,0,0,0.00
"Bummer(S, 1)",1.0,2,0,0,0,3,0,10.80
,9.0,7,2,2,5,12,0,
