BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NaquinRF,5,2,3,1,0,1,0,.270,.811
Drury2B-3B-SS,5,1,1,0,0,1,2,.244,.822
PhamLF,2,0,0,0,1,2,2,.218,.690
AquinoLF,1,0,0,0,0,0,0,.120,.474
Votto1B,3,0,1,1,0,1,1,.144,.505
"Lopez, A2B",0,0,0,0,1,0,0,.273,.636
"Stephenson, TC",3,0,1,1,1,1,1,.295,.842
MoustakasDH,3,0,0,0,0,1,4,.229,.679
"Garcia, Ar1B",1,0,0,0,0,0,0,.180,.472
SenzelCF,4,1,1,0,0,0,2,.180,.485
Moran3B-1B-3B,4,0,1,1,0,1,0,.202,.635
"Reynolds, MSS-P",4,0,0,0,0,2,1,.214,.601
,35,4,8,4,3,10,13,,
