PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Mahle(L, 2-5)",4.0,9,8,8,3,6,2,6.32
Cessa,1.0,3,2,2,0,0,0,5.60
Kuhnel,2.0,2,0,0,0,3,0,1.50
Solomon,1.0,0,0,0,0,1,0,4.91
"Reynolds, M",1.0,1,1,1,0,0,0,6.75
,9.0,15,11,11,3,10,2,
