PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Stroman(W, 2-4)",5.0,4,2,2,2,8,0,4.71
Hughes,1.0,0,0,0,0,1,0,1.80
"Gsellman(S, 1)",3.0,4,2,2,1,1,1,5.54
,9.0,8,4,4,3,10,1,
