BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
VarshoCF,5,1,2,1,0,2,0,.213,.784
"Marte, K2B",5,0,0,1,0,1,5,.169,.496
PeraltaLF,3,0,1,1,0,0,2,.234,.685
"Walker, C1B",4,1,1,1,0,1,2,.160,.656
BeerDH,1,0,0,0,3,0,1,.375,.993
"Smith, PRF",4,0,2,1,0,0,1,.286,.749
McCarthyRF,0,0,0,0,0,0,0,.136,.481
"Kelly, CC",4,1,2,0,0,0,3,.111,.297
"Alcántara, Se3B",4,1,1,0,0,1,5,.115,.412
PerdomoSS,4,1,2,0,0,2,2,.172,.661
,34,5,11,5,3,7,21,,
