PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Castellanos, H(W, 1-0)",5.0,4,2,2,1,5,0,3.00
"Ramirez, No(H, 2)",0.2,0,0,0,2,2,0,2.57
"Nelson, K(H, 2)",1.1,2,0,0,0,0,0,0.00
"Kennedy, I(H, 3)",1.0,1,0,0,0,2,0,6.00
"Mantiply(S, 1)",1.0,0,0,0,0,1,0,0.00
,9.0,7,2,2,3,10,0,
