BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",5,1,1,0,0,3,2,.236,.637
"Reyes, VRF",5,0,3,2,0,1,0,.270,.652
"Castro, WSS",4,0,2,1,1,0,3,.246,.637
"Báez, JDH",5,0,1,0,0,1,4,.227,.647
"Castro, H1B",5,0,0,0,0,0,3,.277,.702
Schoop2B,5,2,2,1,0,3,1,.203,.554
"Carpenter, KLF",4,3,3,1,0,0,1,.267,.846
BarnhartC,4,1,3,2,0,0,0,.208,.502
Clemens3B,4,0,0,0,0,1,4,.127,.450
,41,7,15,7,1,9,18,,
