,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2015,OAK,AL,45,112,102,14,21,8,1,3,9,9,31,0,0,0,.206,.268,.392,.660
,2016,OAK,AL,51,133,113,13,21,2,0,2,8,20,24,0,0,0,.186,.308,.257,.565
,2018,LAD,NL,137,481,395,75,104,17,2,35,79,79,131,3,0,5,.263,.391,.582,.973
*,2019,LAD,NL,141,589,487,101,122,22,1,35,98,90,149,4,1,8,.251,.374,.515,.889
,2020,LAD,NL,58,248,203,36,39,4,0,12,27,39,60,1,0,4,.192,.331,.389,.720
*,2021,LAD,NL,144,592,497,95,124,26,2,36,94,83,120,2,1,11,.249,.368,.527,.895
,2022,LAD,NL,136,565,464,69,91,22,1,21,69,90,141,2,0,5,.196,.329,.384,.713
,7 Seasons,2 Teams,,712,2720,2261,403,522,101,7,144,384,410,656,12,2,33,.231,.355,.473,.828
