Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,21.6,2,3.0,-1,2,3,0,0.0
2018,,23.8,38,32.6,5,9,26,14,36.8
2019,,24.4,38,32.0,6,12,26,13,34.2
2020,,24.1,15,15.8,-1,8,10,8,53.3
2021,,24.4,36,35.5,1,11,29,12,33.3
2022,,24.1,22,21.8,0,12,23,5,22.7
Player,,24.1,151,140.7,10,54,117,52,34.4
