Season,Team,Pos,PA,Depth (ft.),Angle
2016,OAK,9,443,292,27
2016,OAK,4,632,151,15
2016,OAK,7,43,298,-28
2016,OAK,5,20,108,-34
2018,LAD,4,358,151,12
2018,LAD,5,1109,113,-27
2018,LAD,3,2237,108,35
2018,LAD,7,35,291,-26
2019,LAD,4,2158,153,10
2019,LAD,3,1630,110,33
2019,LAD,5,922,116,-24
2020,LAD,4,316,153,11
2020,LAD,3,1093,110,34
2020,LAD,5,564,115,-25
2021,LAD,3,3661,112,34
2021,LAD,4,1017,152,11
2021,LAD,5,116,116,-24
2022,LAD,5,2865,116,-28
2022,LAD,3,25,113,33
2022,LAD,4,897,150,10
