 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2015,,140,18.3,25.0%,4.3%,116,22.9,1.7%,24.1%
2016,,179,17.2,26.8%,1.7%,127,24.0,0.8%,19.7%
2018,,687,17.4,22.4%,2.9%,442,23.5,0.7%,14.7%
2019,,849,18.9,10.1%,3.2%,481,24.3,0.8%,17.5%
2020,,337,18.2,11.9%,2.7%,243,24.8,0.4%,14.8%
2021,,732,18.7,15.3%,4.0%,546,24.5,0.2%,17.8%
2022,,740,17.8,21.6%,2.2%,540,23.4,1.1%,11.3%
