 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,132,80.3,78.3,49,--,37,--,46,--,--,--,--,--,--,--,--,--
2021,693,81.4,76.5,532,76.5,147,75.4,14,--,--,--,--,--,--,--,--,--
2022,453,88.8,81.1,5,--,118,79.2,330,81.2,--,--,--,--,--,--,--,--
