Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,24,27.3,,,8,31,265,60.9
2016,25,27.9,4.29,1,28,30,177,74.3
2018,27,27.6,4.29,,8,34,243,63.8
2019,28,27.7,4.27,,30,26,218,68.2
2020,29,27.3,4.39,,5,13,187,62.8
2021,30,26.7,4.44,,20,31,391,42.2
2022,31,27.2,4.43,,34,18,333,46.7
