Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,L,131,31,23.7,.257,.259
2018,L,470,234,49.8,.417,.396
2019,L,588,447,76.0,.425,.356
2020,L,246,218,88.6,.392,.306
2021,L,584,526,90.1,.335,.382
2022,L,564,502,89.0,.220,.330
