,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,565,464,69,91,21,69,2,.196,.329,.384,.713
7 Seasons,2720,2261,403,522,144,384,12,.231,.355,.473,.828
