PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
Quintana,5.1,2,0,0,1,3,0,0.00
"Hicks, J",0.2,0,0,0,0,0,0,0.00
Gallegos,1.1,0,0,0,1,1,0,0.00
"Helsley(L, 0-1)(H, 1)",1.0,1,4,4,2,2,0,36.00
"Pallante(BS, 1)",0.2,2,2,2,0,1,0,27.00
,9.0,5,6,6,4,7,0,
