BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,0,0,1,0,2,3,.000,.000
Hoskins1B,5,0,0,0,0,2,3,.000,.000
RealmutoC,4,1,1,0,0,0,0,.250,.500
HarperDH,3,1,0,0,1,1,0,.000,.250
"Castellanos, NRF",3,1,0,0,1,1,0,.000,.250
Bohm3B,3,0,1,1,0,0,0,.333,1.167
"1-Sosa, EPR-3B",0,1,0,0,0,0,0,.000,.000
Segura2B,4,1,1,2,0,0,1,.250,.500
StottSS,2,1,0,1,2,0,2,.000,.500
VierlingCF,2,0,1,0,0,0,1,.500,1.000
a-MarshPH-CF,2,0,1,1,0,1,1,.500,1.000
,32,6,5,6,4,7,11,,
