 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2013,,71,263,-1,1,0,1,-1
2014,,255,"1,078",1,-6,9,2,6
2015,,599,"2,361",-18,-16,12,5,-17
2016,,620,"2,582",4,-18,13,8,6
2017,,385,"1,589",-8,-14,12,8,-2
2018,,703,"2,888",-10,-21,21,12,1
2019,,738,"2,929",14,-16,27,14,38
2020,,267,"1,109",-6,-7,9,6,1
2021,,724,"2,923",-3,-17,24,15,18
2022,,724,"2,776",-10,-13,23,11,11
