,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,724,657,101,163,26,83,25,.248,.304,.429,.733
10 Seasons,5068,4575,683,1166,186,565,106,.255,.321,.442,.763
