Season,Team,Pos,PA,Depth (ft.),Angle
2016,OAK,6,5784,146,-12
2017,OAK,6,3180,148,-12
2018,OAK,6,5902,147,-9
2019,OAK,6,5912,147,-6
2020,OAK,6,1857,147,-10
2021,TOR,6,565,149,-11
2021,TOR,4,4932,152,13
2022,TEX,4,5505,150,11
2022,TEX,6,556,148,-15
