Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,608,78,12.8,.314,.321
2017,R,385,11,2.9,.310,.381
2018,R,701,65,9.3,.310,.289
2019,R,735,208,28.3,.371,.372
2020,R,235,96,40.9,.330,.256
2021,R,685,272,39.7,.355,.379
2022,R,722,543,75.2,.320,.317
